twoPtPassId,playId,teamId,playerId,twoPtPassPosition,twoPtPassConv,twoPtPassSack,twoPtPassComp,twoPtPassNull
14453411,14037433,1050,20180001,QB,good,0,1,0
14453412,14038235,2700,20120057,QB,good,0,1,0
14453413,14039393,750,20110001,QB,good,0,1,0
14453453,14041340,3410,20040001,QB,failed,0,0,0
14453454,14042314,2100,20150002,QB,failed,0,0,1
14453455,14042315,2100,20150002,QB,failed,0,0,0
14453456,14042775,750,20110001,QB,good,0,1,0
14453498,14045280,3800,20180010,QB,good,0,1,0
14453499,14045425,3200,20000199,QB,failed,0,0,0
14453500,14045593,750,20110001,QB,failed,0,0,0
14453501,14045960,4900,20050250,QB,good,0,1,0
14453502,14046375,2250,20140003,QB,failed,0,0,0
14453503,14046701,2510,20160001,QB,good,0,1,0
14453504,14047183,2200,20120001,QB,good,0,1,0
14453505,14047410,1050,20180001,QB,failed,0,0,0
14453543,14049524,610,20170171,QB,failed,0,0,0
14453544,14049772,1050,20180001,QB,failed,0,0,0
14453545,14049795,1050,20180001,QB,failed,0,1,0
14453546,14049842,1050,20180001,QB,failed,1,0,0
14453547,14050801,2510,20160001,QB,good,0,1,0
14453548,14050873,4400,20040004,QB,failed,0,0,0
14453588,14053394,810,20170002,QB,good,0,1,0
14453589,14053418,1540,20090001,QB,failed,0,0,0
14453590,14053426,1540,20090001,QB,failed,0,1,0
14453591,14053732,200,20080003,QB,failed,1,0,0
14453592,14054185,2310,20170010,QB,failed,0,0,0
14453633,14057882,810,20170002,QB,good,0,1,0
14453634,14057955,810,20170002,QB,good,0,1,0
14453635,14057969,3000,20120102,QB,failed,0,0,1
14453636,14057970,3000,20120102,QB,good,0,1,0
14453637,14057992,3000,20120102,QB,failed,0,0,0
14453638,14058144,750,20110001,QB,failed,0,0,0
14453639,14058416,3900,20040011,QB,failed,0,0,0
14453678,14062486,810,20090435,QB,failed,0,0,0
14453679,14062522,1540,20090001,QB,failed,0,0,0
14453680,14063508,3410,20040001,QB,failed,0,0,0
14453723,14065673,200,20080003,QB,failed,0,0,0
14453724,14066480,1050,20180001,QB,failed,0,1,0
14453725,14066774,610,20180007,QB,good,0,1,0
14453726,14067458,3700,20160002,QB,good,0,1,0
14453727,14067608,4400,20040004,QB,good,0,1,0
14453728,14067617,4400,20040004,QB,good,0,1,0
14453768,14071029,920,20160207,QB,failed,0,1,0
14453769,14071100,920,20160207,QB,failed,1,0,0
14453770,14071561,4600,20120075,QB,good,0,1,0
14453771,14072204,5110,20080160,QB,good,0,1,0
14453772,14072214,5110,20080160,QB,good,0,1,0
14453813,14073766,200,20080003,QB,failed,0,0,0
14453814,14074039,1540,20130165,P,failed,0,0,0
14453815,14074273,3300,20010032,QB,failed,0,0,0
14453816,14074405,1800,20050024,QB,good,0,1,0
14453817,14075270,4400,20040004,QB,good,0,1,0
14453858,14078207,920,20160207,QB,good,0,1,0
14453859,14079172,610,20150971,P,failed,0,0,0
14453860,14079254,3900,20040011,QB,good,0,1,0
14453861,14079516,1800,20050024,QB,failed,0,0,1
14453862,14079768,3700,20120088,QB,failed,1,0,0
14453903,14082277,3410,20040001,QB,failed,0,0,1
14453904,14082278,3410,20040001,QB,good,0,1,0
14453905,14082335,1200,20160135,QB,good,0,1,0
14453906,14082473,1400,20120511,QB,failed,0,0,0
14453907,14083122,4500,20170790,QB,good,0,1,0
14453908,14083250,810,20170002,QB,good,0,1,0
14453909,14084042,4900,20150001,QB,failed,0,0,0
14453910,14084050,4900,20150001,QB,failed,0,0,0
15453948,15086045,2120,20170012,QB,good,0,1,0
15453959,15087067,325,20180032,QB,failed,0,0,0
15453960,15087234,4600,20120075,QB,failed,1,0,0
15453970,15088223,1800,20050024,QB,failed,0,0,0
15453003,15000386,4400,20190166,QB,failed,0,0,0
15453004,15001124,3200,20190133,QB,failed,0,0,0
15453005,15001173,3200,20190133,QB,good,0,1,0
15453006,15001585,200,20040090,QB,failed,0,0,0
15453007,15001713,200,20120635,QB,good,0,1,0
15453008,15001816,3300,20140032,QB,failed,0,0,0
15453009,15002298,2100,20120008,QB,good,0,1,0
15453010,15002510,4900,20130491,QB,failed,0,0,0
15453011,15002557,4900,20130491,QB,failed,0,0,0
15453012,15002578,4900,20130491,QB,failed,0,0,0
15453013,15002728,1400,20190042,QB,good,0,1,0
15453048,15004981,750,20150870,QB,failed,0,1,1
15453049,15005280,1540,20140183,QB,failed,0,0,1
15453050,15005475,2200,20170253,QB,good,0,1,0
15453051,15005825,3300,20170562,QB,failed,1,0,0
15453052,15006306,3410,20120875,QB,failed,0,0,0
15453053,15006676,2700,20160191,QB,good,0,1,0
15453054,15006726,3200,20090501,QB,good,0,1,0
15453093,15008687,3410,20180108,QB,good,0,1,0
